T_Set,Thermostate_Switch,T_Room
19,0,20
19,0,19.9554
19,0,19.9111
19,0,19.8672
19,0,19.8235
19,0,19.7801
19,0,19.7371
19,0,19.6943
19,0,19.6518
19,0,19.6097
19,0,19.5678
19,0,19.5262
19,0,19.4848
19,0,19.4397
19,0,19.3948
19,0,19.3503
19,0,19.3061
19,0,19.2622
19,0,19.2186
19,0,19.1752
19,0,19.1322
19,0,19.0895
19,0,19.047
19,0,19.0049
19,0,18.963
19,0,18.92
19,0,18.8774
19,0,18.835
19,0,18.793
19,0,18.7512
19,0,18.7096
19,0,18.6684
19,0,18.6274
19,0,18.5867
19,0,18.5462
19,0,18.506
19,0,18.4661
19,1,18.4251
19,1,18.3878
19,1,18.3541
19,1,18.3239
19,1,18.2972
19,1,18.274
19,1,18.2542
19,1,18.2377
19,1,18.2245
19,1,18.2145
19,1,18.2077
19,1,18.2041
19,1,18.2011
19,1,18.2012
19,1,18.2043
19,1,18.2102
19,1,18.2187
19,1,18.2296
19,1,18.2426
19,1,18.2574
19,1,18.274
19,1,18.2921
19,1,18.3116
19,1,18.3324
19,1,18.3517
19,1,18.3721
19,1,18.3933
19,1,18.4154
19,1,18.4382
19,1,18.4616
19,1,18.4855
19,1,18.51
19,1,18.5348
19,1,18.5601
19,1,18.5857
19,1,18.6115
19,1,18.6364
19,1,18.6614
19,1,18.6866
19,1,18.7119
19,1,18.7374
19,1,18.7629
19,1,18.7885
19,1,18.8141
19,1,18.8398
19,1,18.8654
19,1,18.8911
19,1,18.9167
19,1,18.9423
19,1,18.9678
19,1,18.9933
19,1,19.0187
19,1,19.0441
19,1,19.0693
19,1,19.0944
19,1,19.1195
19,1,19.1444
19,1,19.1693
19,1,19.194
19,1,19.2186
19,1,19.2431
19,1,19.2674
19,1,19.2916
19,1,19.3157
19,1,19.3397
19,1,19.3635
19,1,19.3872
19,1,19.4108
19,1,19.4342
19,1,19.4575
19,1,19.4806
19,1,19.5036
19,0,19.5265
19,0,19.5486
19,0,19.5699
19,0,19.5905
19,0,19.6104
19,0,19.6296
19,0,19.648
19,0,19.6657
19,0,19.6828
19,0,19.6991
19,0,19.7148
19,0,19.7298
19,0,19.7442
19,0,19.7579
19,0,19.7711
19,0,19.7835
19,0,19.7954
19,0,19.8067
19,0,19.8173
19,0,19.8274
19,0,19.8369
19,0,19.8459
19,0,19.8543
19,0,19.8621
19,0,19.8694
19,0,19.8761
19,0,19.8823
19,0,19.8881
19,0,19.8932
19,0,19.8979
19,0,19.9021
19,0,19.9058
19,0,19.9091
19,0,19.9118
19,0,19.9141
19,0,19.916
19,0,19.9173
19,0,19.9183
19,0,19.9188
19,0,19.9188
19,0,19.9185
19,0,19.9177
19,0,19.9165
19,0,19.9149
19,0,19.913
19,0,19.9106
19,0,19.9078
19,0,19.9047
19,0,19.9011
19,0,19.8973
19,0,19.893
19,0,19.8884
19,0,19.8835
19,0,19.8782
19,0,19.8725
19,0,19.8665
19,0,19.8602
19,0,19.8536
19,0,19.8467
19,0,19.8394
19,0,19.8318
19,0,19.824
19,0,19.8158
19,0,19.8074
19,0,19.7986
19,0,19.7896
19,0,19.7803
19,0,19.7707
19,0,19.7608
19,0,19.7507
19,0,19.7403
19,0,19.7297
19,0,19.7188
19,0,19.7077
19,0,19.6963
19,0,19.6847
19,0,19.6728
19,0,19.6607
19,0,19.6484
19,0,19.6359
19,0,19.6231
19,0,19.6102
19,0,19.597
19,0,19.5836
19,0,19.57
19,0,19.5562
19,0,19.5422
19,0,19.528
19,0,19.5136
19,0,19.4991
19,0,19.4843
19,0,19.4694
19,0,19.4543
19,0,19.439
19,0,19.4235
19,0,19.4079
19,0,19.3921
19,0,19.3761
19,0,19.36
19,0,19.3438
19,0,19.3273
19,0,19.3108
19,0,19.2941
19,0,19.2772
19,0,19.2602
19,0,19.243
19,0,19.2258
19,0,19.2084
19,0,19.1908
19,0,19.1731
19,0,19.1553
19,0,19.1374
19,0,19.1194
19,0,19.1012
19,0,19.0829
19,0,19.0645
19,0,19.046
19,0,19.0274
19,0,19.0087
19,0,18.9899
19,0,18.9709
19,0,18.9519
19,0,18.9328
19,0,18.9136
19,0,18.8943
19,0,18.8748
19,0,18.8553
19,0,18.8358
19,0,18.8161
19,0,18.7963
19,0,18.7765
19,0,18.7566
19,0,18.7366
19,0,18.7165
19,0,18.6963
19,0,18.6761
19,0,18.6558
19,0,18.6355
19,0,18.615
19,0,18.5945
19,0,18.574
19,0,18.5533
19,0,18.5326
19,0,18.5119
19,0,18.4911
19,1,18.4702
19,1,18.4527
19,1,18.4385
19,1,18.4274
19,1,18.4196
19,1,18.4149
19,1,18.4133
19,1,18.4147
19,1,18.4189
19,1,18.4257
19,1,18.4347
19,1,18.4457
19,1,18.4586
19,1,18.4731
19,1,18.4892
19,1,18.5066
19,1,18.5252
19,1,18.5449
19,1,18.5656
19,1,18.5871
19,1,18.6094
19,1,18.6323
19,1,18.6559
19,1,18.68
19,1,18.7046
19,1,18.7296
19,1,18.7549
19,1,18.7806
19,1,18.8065
19,1,18.8326
19,1,18.8589
19,1,18.8854
19,1,18.912
19,1,18.9386
19,1,18.9654
19,1,18.9922
19,1,19.019
19,1,19.0458
19,1,19.0726
19,1,19.0994
19,1,19.1261
19,1,19.1528
19,1,19.1795
19,1,19.206
19,1,19.2325
19,1,19.2589
19,1,19.2852
19,1,19.3113
19,1,19.3374
19,1,19.3634
19,1,19.3892
19,1,19.4149
19,1,19.4405
19,1,19.466
19,1,19.4913
19,1,19.5165
19,0,19.5415
19,0,19.5658
19,0,19.5893
19,0,19.612
19,0,19.634
19,0,19.6553
19,0,19.6758
19,0,19.6956
19,0,19.7147
19,0,19.7332
19,0,19.7509
19,0,19.7679
19,0,19.7843
19,0,19.8001
19,0,19.8152
19,0,19.8296
19,0,19.8435
19,0,19.8567
19,0,19.8693
19,0,19.8813
19,0,19.8927
19,0,19.9035
19,0,19.9138
19,0,19.9235
19,0,19.9327
19,0,19.9413
19,0,19.9493
19,0,19.9569
19,0,19.9639
19,0,19.9704
19,0,19.9764
19,0,19.9819
19,0,19.9869
19,0,19.9914
19,0,19.9955
19,0,19.999
19,0,20.0021
19,0,20.0048
19,0,20.007
19,0,20.0088
19,0,20.0101
19,0,20.011
19,0,20.0115
19,0,20.0116
19,0,20.0113
19,0,20.0105
19,0,20.0094
19,0,20.0079
19,0,20.006
19,0,20.0037
19,0,20.0011
19,0,19.9981
19,0,19.9947
19,0,19.991
19,0,19.9869
19,0,19.9825
19,0,19.9778
19,0,19.9727
19,0,19.9673
19,0,19.9615
19,0,19.9555
19,0,19.9492
19,0,19.9425
19,0,19.9362
19,0,19.9296
19,0,19.9227
19,0,19.9155
19,0,19.9081
19,0,19.9003
19,0,19.8923
19,0,19.884
19,0,19.8754
19,0,19.8666
19,0,19.8575
19,0,19.8481
19,0,19.8387
19,0,19.8291
19,0,19.8192
19,0,19.8091
19,0,19.7988
19,0,19.7882
19,0,19.7774
19,0,19.7663
19,0,19.7551
19,0,19.7436
19,0,19.7319
19,0,19.72
19,0,19.7081
19,0,19.696
19,0,19.6837
19,0,19.6712
19,0,19.6585
